assieds toi !	sit down !
est ce la ton chien ?	is that your dog ?
je ne serai pas parti longtemps .	i won t be long .
trace une ligne ici .	draw a line here .
je ne fais pas erreur .	i m not mistaken .
laissez moi un mot .	drop me a line .
comment cela se passe t il ?	how is it going ?
ecoute bien .	listen closely .
defendez vous .	defend yourself .
j ai pour ainsi dire trop mange .	i m kind of full .
je me sens deprime .	i feel depressed .
vous paraissez fatigues .	you sound tired .
nouez votre chaussure .	tie your shoe .
la vie continue .	life goes on .
donnez moi du temps .	give me time .
elles s en fichent .	they don t care .
gardez le !	keep it .
etes vous blessee ?	are you hurt ?
c est genial !	this is awesome .
il me faut dire non .	i have to say no .
tom est parti .	tom went .
peux tu le voir ?	can you see it ?
c est mon destin .	this is my fate .
j ai simplement pris une douche .	i just showered .
j irai le chercher .	i ll get it .
peux tu aider ?	can you help ?
s agit il d une enigme ?	is that a riddle ?
j aime la pluie .	i love the rain .
je suis amoureux .	i m in love .
j etais furieux .	i was furious .
je la connais .	i know her .
venez nous rejoindre !	come join us .
tu es agitee .	you re restless .
c est injuste !	it s not fair .
tom rencontra marie .	tom met mary .
tu es de mon age .	you re my age .
ecoute moi bien !	listen carefully .
il se leve tot .	he gets up early .
tu es fou !	you re nuts !
cela peut arriver .	that can happen .
je n ai pas parle .	i didn t speak .
combien ca fait ?	how much is it ?
j ai peur .	i m scared .
il m a laissee tomber .	he dumped me .
j etais agacee .	i was frustrated .
allez au lit !	go to bed .
soyez breve .	keep it short .
ce n est pas nouveau .	it s not new .
je refuse de travailler .	i refuse to work .
je vais payer pour toi .	i ll pay for you .
j ai besoin d elles .	i need them .
personne ne peut voir .	no one can see .
c est absurde .	that s nonsense .
je ne m y suis pas rendu .	i didn t go .
fais attention .	be careful .
allons faire du bowling .	let s go bowling .
je me fais vraiment du souci .	i do worry .
je ne suis pas perdu .	i m not lost .
continue d essayer .	keep trying .
je vis ici a l heure actuelle .	i live here now .
habituellement je me deplace a pied .	i usually walk .
appellez mon fils .	call my son .
ne tombez pas !	don t fall off !
calme toi .	relax .
bienvenue !	welcome .
commencez par compter .	start counting .
ce sont les leurs .	this is theirs .
tom semble en colere .	tom looks angry .
je suis mouillee .	i m wet .
c est une location .	it s a rental .
cessez de siffler .	stop whistling .
je suis desesperee .	i m hopeless .
c etait terrible .	it was awful .
sont elles neuves ?	are they new ?
fais entrer tom .	show tom in .
regarde attentivement .	look closely .
j ai arrete de fumer .	i quit smoking .
j ai fait ca aujourd hui .	i did that today .
puis je vous aider ?	may i assist you ?
est ce que c est vous ?	is that you ?
nous sommes voisins .	we re neighbors .
tu sembles contrariee .	you seem upset .
va faire du pop corn .	go make popcorn .
tout ceci me manque .	i miss all this .
prenez du cafe !	have some coffee .
vous me faites marcher !	you re kidding !
est ce que je suis a l heure ?	am i on time ?
je suis mal barre .	i am in trouble .
je n en ai pas encore termine .	i m not done yet .
je ne peux manger cela .	i can t eat that .
je suis sujet a des allergies .	i have allergies .
c est un nouveau livre .	it s a new book .
sommes nous prets ?	are we prepared ?
elle l apprecia .	she liked it .
qu est ce qui vous a retenu ?	what s kept you ?
attrape tout .	get everything .
nous avons partage des idees .	we shared ideas .
les filles sont folles .	girls are crazy .
j admire tom .	i admire tom .
gardez le sourire .	keep smiling .
c est la verite .	it s genuine .
est ce dangereux ?	is it dangerous ?
nous avons confiance en lui .	we trust him .
j ai ete degoutee .	i was disgusted .
je suis terrifiee .	i m terrified .
tom n est pas arme .	tom s unarmed .
je m en suis apercu .	i could see that .
va !	go .
etiez vous occupes ?	were you busy ?
je sais tout ceci .	i know all this .
regardez autour de vous .	check around .
reste bien tranquille !	stay very still .
le filet est enorme .	the net is huge .
essayons cela .	let s try that .
il eut le poste .	he got the job .
nous sommes trop occupees .	we re too busy .
sois misericordieux !	be merciful .
je dispose d un visa .	i have a visa .
tom a la trouille facile .	tom scares easy .
c est le gros .	it s the big one .
ce fut rapide .	that was fast .
sauvez vous !	save yourself .
j irai .	i will go .
nous comprenons .	we understand .
danse avec moi .	dance with me .
nous ne sommes pas en securite .	we re not safe .
restez sur vos gardes .	stay alert .
mangez vos petits pois .	eat your peas .
tu fumes ?	do you smoke ?
arretez de crier .	stop shouting .
je suis tatillonne .	i m fussy .
jouez vous au bowling ?	do you bowl ?
ne triche pas .	don t cheat .
je l ai annule .	i canceled it .
il me faut insister .	i must insist .
cool raoul !	take it easy !
c est faux .	this is false .
je ne suis pas malheureuse .	i m not unhappy .
comment allez vous maintenant ?	how are you now ?
je vais bien .	i m doing well .
tom m effraye .	tom scares me .
je me refusai a payer .	i refused to pay .
verifie ton chapeau .	check your hat .
ah bon ?	no kidding ?
donne moi un coup de fil .	give me a call .
nous sommes canadiens .	we re canadians .
cul sec !	bottoms up !
excellent !	wonderful !
reste a distance .	keep away .
voici la facture .	here s the bill .
aide moi a sortir .	help me out .
ca ne marchera pas .	it won t work .
j adore les barbecues .	i love barbecue .
en avant !	go ahead !
ca va aider .	this ll help .
lachez moi !	give me a break .
il s agit du mien .	this is mine .
est ce un non ?	is that a no ?
je ne danse pas .	i don t dance .
tom est mince .	tom is slim .
pratiques tu le recyclage ?	do you recycle ?
dis bonjour .	say hello .
bien . je suis d accord .	ok . i agree .
je t ai aimee .	i loved you .
je vais ignorer ca .	i ll ignore that .
pouvons nous vous aider ?	can we help ?
passe moi une serviette .	hand me a towel .
j en veux une aussi .	i want one too .
ca m a epate .	it amazed me .
il est sept heures trente .	it is .
il n est pas verrouille .	it isn t locked .
attendre et boire du the .	wait and see .
j ai entendu des hurlements .	i heard screams .
tu as ete vu .	you were seen .
veuillez commencer .	please proceed .
tom a l air en colere .	tom looks mad .
elle etait trop dure .	it was too hard .
regardez votre carte .	look at your map .
je me suis amusee .	i did have fun .
je suis bourre .	i m plastered .
tom conduit .	tom drives .
ce n est rien .	it s nothing .
qui vous a embrassees ?	who kissed you ?
ils sont coinces .	they re trapped .
tom ecoute .	tom listens .
tom a mange une poire .	tom ate a pear .
il la dupa .	he fooled her .
il dispose d argent .	he has money .
donnez moi une biere .	give me a beer .
j ai termine .	i m finished .
sois prudent !	be watchful .
retire ton chapeau !	remove your hat .
j ai donne un calin a tom .	i gave tom a hug .
fais un petit somme !	take a nap .
je conduis .	i drive .
etais tu occupe ?	were you busy ?
etudie avec application .	study hard .
soyez preparees !	be prepared .
nous sommes des survivants .	we re survivors .
c est suffisant .	that s enough .
j ai dit de rester en arriere .	i said stay back .
j ai fini par gagner .	i finally won .
ils sont jeunes .	they re young .
fais le encore une fois !	do it again !
memorise le .	memorize it .
il marche rapidement .	he walks fast .
il a du vin .	he has wine .
a la prochaine .	come again .
j ai fait mon boulot .	i ve done my job .
tom est calme .	tom is calm .
tu as l air en colere .	you sound angry .
qui l a construite ?	who built it ?
comment se porte ta femme ?	how s your wife ?
tom a attrape marie .	tom caught mary .
du b uf s il vous plait .	beef please .
tom a l air triste .	tom looks sad .
note le !	write it down .
je sais deja .	i already know .
viens dehors .	come outside .
vous etes special .	you re special .
l avez vous vue ?	did you see it ?
prends un peu de the .	drink some tea .
je vais courir .	i go jogging .
il n y a pas le temps .	there s no time .
je suis tres heureux .	i m very happy .
ce n est pas un drame .	it s no big deal .
tom est rentre chez lui .	tom came home .
n ayez aucune crainte .	fear nothing .
je vous adore tous les deux .	i love you both .
il nous faut partir .	we need to go .
vous etes tres timides .	you re very shy .
saisis moi la main !	grab my hand .
attends un moment !	wait a while .
utilisez les toutes !	use them all .
ils sont vieux .	they re old .
tenez bon !	hang on .
nous devons manger .	we have to eat .
je ne cederai pas .	i won t budge .
amusez vous bien .	have fun .
c est tres grand .	it s very big .
nous l avons emporte .	we won .
nous savons .	we know .
j ai honte .	i m ashamed .
je suis vivante .	i m alive .
tom va t il mourir ?	will tom die ?
je ne suis pas de service aujourd hui .	i am off today .
j adore la soupe .	i love soup .
nous obeirons .	we ll obey .
veuillez preciser .	please elaborate .
j aime cette chanson .	i like this song .
tu es bon .	you re good .
tout le monde a ri .	everyone laughed .
decide toi !	make a decision .
soyez serieux !	be serious .
c est tres court .	it is very short .
c est normal .	that s normal .
pouvez vous annuler ?	can you cancel ?
oh je suis desolee .	oh i m sorry .
ca marche pour moi .	it works for me .
fichez le camp !	get out !
prenez soin de vous .	take care !
je suis ton ami .	i m your friend .
creuse un trou profond .	dig a deep hole .
je ne saurais en etre certain .	i can t be sure .
tu es inutile .	you re useless .
ils ont decouvert le truc .	they found out .
je ne suis pas presse .	i m in no hurry .
c est depasse .	it s obsolete .
aidez tom s il vous plait .	please help tom .
je suis accro a la tele .	i m a tv addict .
personne ne s est montre .	no one showed up .
tu es partial .	you re biased .
tout ira bien pour elles .	they ll be fine .
c est du poulet .	that s chicken .
prends une douche !	take a shower .
arrete ca !	cut that out !
soyez davantage flexible .	be more flexible .
prenez le commandement .	take command .
je me suis lave les pieds .	i washed my feet .
j etais professeur .	i was a teacher .
je suis stressee .	i m stressed out .
sois prudente !	be watchful .
tom etait strict .	tom was strict .
assieds toi !	be seated .
t es marrante .	you re fun .
je t observe .	i m watching you .
je n y peux rien .	i can t help .
il a fait un robot .	he made a robot .
ne vous decouragez pas .	don t lose heart .
aimiez vous tom ?	did you love tom ?
je suis devoue .	i m dedicated .
nous sommes des nouvelles venues .	we re newcomers .
et alors ?	then what ?
je suis depourvu de nourriture .	i have no food .
qui a fait du benevolat ?	who volunteered ?
j ai eu beaucoup de chance .	i was very lucky .
c est des flics ?	are they cops ?
j aime les gateaux .	i like cake .
tom est insensible .	tom is numb .
est ce inhabituel ?	is that unusual ?
prends des precautions .	watch yourself .
laissez moi tranquille !	leave me alone !
allez !	come on !
quitte notre maison !	leave our house .
c est ma biere .	that s my beer .
moi aussi .	me too .
je demanderai plus tard .	i ll ask later .
je parle tout seul .	i talk to myself .
il n y a pas d espoir .	there s no hope .
laissez moi trouver !	let me find out .
ils se sont embrasses .	they embraced .
fais moi plaisir .	do me a favor .
je me suis reveille .	i woke up .
elles connaissent tom .	they know tom .
j ai confiance en vous tous .	i trust you all .
je souffre d amnesie .	i have amnesia .
c est faisable .	that s doable .
pourquoi faire cela maintenant ?	why do that now ?
touchez le .	touch it .
j ai ete piege .	i was trapped .
je suis offense .	i m offended .
elles sont vertes .	they re green .
elle a de l assurance .	she s assertive .
il s est leve .	he stood up .
je fais la fete .	i m celebrating .
j etais demunie .	i had no money .
pigez vous ?	do you get it ?
je l ai construit .	i built it .
nous conduirons .	we ll drive .
il me faut essayer .	i have to try .
j allumai le cierge .	i lit the candle .
je travaille trop .	i work too much .
quelle tragedie !	what a tragedy !
j ai besoin de soutien .	i need support .
il marque un point .	he has a point .
appelez la police !	call the police !
m approuve t on ?	am i approved ?
tom a capitule .	tom surrendered .
vers l exterieur !	get out !
prenons des sushi .	let s eat sushi .
elles le firent toutes .	they all did it .
mes cheveux sont mouilles .	my hair is wet .
soyez vous meme .	be yourself .
ma chatte me manque .	i miss my cat .
on est mercredi .	it s wednesday .
tu as l air triste .	you look gloomy .
tom nous a aime .	tom loved us .
je lis son livre .	i read his book .
nous y assisterons .	we ll attend .
je les connais tous .	i know them all .
tom est piege .	tom s trapped .
mets le chapeau .	put on the hat .
je trouverai un moyen .	i ll find a way .
je vous appellerai .	i ll call you .
n est elle pas mignonne ?	ain t she cute ?
tom ne va pas bien .	tom isn t well .
tom sauta .	tom jumped .
je n ai pas les foies .	i m not chicken .
nous sommes ennemies .	we re enemies .
ils etaient occupes .	they were busy .
